159359, 64040
1.28453e+06, 330207
759414, 197138
1.65699e+06, 488061
7.15393e+06, 1.57453e+06
1.40187e+06, 373795
905710, 167521
118305, 26156
258856, 65438
5.05886e+06, 1.44034e+06
2.37759e+06, 629302
270363, 101975
899108, 185671
440707, 116157
3.20256e+06, 570264
1.77628e+06, 380690
747957, 176444
1.16614e+06, 267594
1.14124e+06, 243335
1.63293e+06, 303534
1.47541e+06, 365356
404764, 103776
2.80232e+06, 549526
1.56489e+06, 300044
1.61206e+06, 401779
752789, 165538
291478, 85350
2.58627e+06, 659584
198489, 46067
501623, 117466
378014, 96098
2.06429e+06, 321991
527946, 144977
618835, 207767
3.95878e+06, 705924
3.08892e+06, 709287
971205, 270775
1.00581e+06, 283045
3.48124e+06, 759474
249545, 54121
1.33378e+06, 365139
232239, 57057
1.72231e+06, 431274
6.00448e+06, 1.45345e+06
685544, 120447
2.08781e+06, 677533
184019, 36988
1.79284e+06, 529784
1.5811e+06, 331340
536158, 130536
161992, 44999
